,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE,result
713,3,1.99,2.09,0.1,0.0,0,0,0.000203,2.09,1.89,0.2,0,0.0,0.050251,0.1,3,1
929,3,1.79,2.09,0.0,0.0,0,0,0.16384,2.09,1.79,0.3,0,0.0,0.0,0.3,3,1
87,4,1.99,2.23,0.0,0.0,0,0,0.68,2.23,1.99,0.24,0,0.0,0.0,0.24,4,0
210,7,1.86,2.18,0.0,0.0,0,0,0.923496,2.18,1.86,0.32,1,0.0,0.0,0.32,0,0
815,1,1.86,2.18,0.0,0.0,0,0,0.96564,2.18,1.86,0.32,0,0.0,0.0,0.32,1,0
260,2,1.86,2.18,0.0,0.4,0,1,0.384,1.78,1.86,-0.08,0,0.183486,0.0,0.32,2,1
573,3,1.99,2.29,0.0,0.0,0,0,0.199771,2.29,1.99,0.3,0,0.0,0.0,0.3,3,1
879,4,1.99,2.09,0.0,0.0,0,0,0.708928,2.09,1.99,0.1,0,0.0,0.0,0.1,4,0
236,3,1.79,2.09,0.0,0.0,0,0,0.719675,2.09,1.79,0.3,0,0.0,0.0,0.3,3,0
545,2,1.69,1.69,0.0,0.0,1,0,0.170394,1.69,1.69,0.0,0,0.0,0.0,0.0,2,1
398,7,1.86,2.13,0.37,0.0,1,0,0.286839,2.13,1.49,0.64,1,0.0,0.198925,0.27,0,0
207,7,1.86,2.09,0.0,0.0,0,0,0.850578,2.09,1.86,0.23,1,0.0,0.0,0.23,0,0
479,7,1.86,2.13,0.27,0.0,1,0,0.75424,2.13,1.59,0.54,1,0.0,0.145161,0.27,0,0
424,3,1.99,2.23,0.0,0.0,0,0,0.416,2.23,1.99,0.24,0,0.0,0.0,0.24,3,1
275,3,1.79,2.23,0.0,0.0,0,0,0.017592,2.23,1.79,0.44,0,0.0,0.0,0.44,3,1
857,7,1.86,2.09,0.1,0.0,0,0,0.95705,2.09,1.76,0.33,1,0.0,0.053763,0.23,0,0
95,2,1.99,2.18,0.0,0.0,0,0,0.6,2.18,1.99,0.19,0,0.0,0.0,0.19,2,0
298,2,1.69,1.69,0.3,0.0,1,0,0.4672,1.69,1.39,0.3,0,0.0,0.177515,0.0,2,1
913,2,1.86,2.18,0.0,0.06,0,0,0.6,2.12,1.86,0.26,0,0.027523,0.0,0.32,2,0
122,2,1.86,2.18,0.0,0.0,0,0,0.973955,2.18,1.86,0.32,0,0.0,0.0,0.32,2,0
93,7,1.86,2.09,0.0,0.2,0,0,0.6,1.89,1.86,0.03,1,0.095694,0.0,0.23,0,0
677,1,1.96,2.13,0.0,0.74,0,1,0.731794,1.39,1.96,-0.57,0,0.347418,0.0,0.17,1,1
373,1,1.69,1.69,0.0,0.0,0,0,0.5,1.69,1.69,0.0,0,0.0,0.0,0.0,1,1
948,2,1.86,2.18,0.0,0.6,0,1,0.009319,1.58,1.86,-0.28,0,0.275229,0.0,0.32,2,1
196,4,1.99,2.09,0.0,0.4,0,0,0.99987,1.69,1.99,-0.3,0,0.191388,0.0,0.1,4,0
334,7,1.75,1.99,0.0,0.4,0,0,0.09563,1.59,1.75,-0.16,1,0.201005,0.0,0.24,0,1
750,7,1.69,1.69,0.0,0.2,0,1,0.68,1.49,1.69,-0.2,1,0.118343,0.0,0.0,0,0
878,4,1.99,2.09,0.0,0.0,0,0,0.63616,2.09,1.99,0.1,0,0.0,0.0,0.1,4,0
407,1,1.75,1.99,0.0,0.0,0,0,0.346778,1.99,1.75,0.24,0,0.0,0.0,0.24,1,1
567,7,1.99,2.13,0.5,0.0,0,1,0.32,2.13,1.49,0.64,1,0.0,0.251256,0.14,0,0
151,7,1.99,2.13,0.5,0.0,0,1,0.131072,2.13,1.49,0.64,1,0.0,0.251256,0.14,0,0
872,7,1.99,2.13,0.0,0.54,0,1,0.589079,1.59,1.99,-0.4,1,0.253521,0.0,0.14,0,1
103,2,1.75,1.99,0.0,0.3,0,1,0.932891,1.69,1.75,-0.06,0,0.150754,0.0,0.24,2,0
112,2,1.89,2.09,0.13,0.0,0,0,0.757438,2.09,1.76,0.33,0,0.0,0.068783,0.2,2,0
657,2,1.86,2.18,0.0,0.0,0,0,0.981866,2.18,1.86,0.32,0,0.0,0.0,0.32,2,0
195,4,1.99,2.09,0.0,0.4,0,0,0.999838,1.69,1.99,-0.3,0,0.191388,0.0,0.1,4,0
421,3,1.99,2.09,0.0,0.0,0,0,0.030482,2.09,1.99,0.1,0,0.0,0.0,0.1,3,1
668,2,1.86,2.18,0.0,0.0,0,0,0.256,2.18,1.86,0.32,0,0.0,0.0,0.32,2,1
203,7,1.69,1.99,0.0,0.0,0,0,0.6352,1.99,1.69,0.3,1,0.0,0.0,0.3,0,0
431,7,1.86,2.13,0.0,0.0,0,0,0.21868,2.13,1.86,0.27,1,0.0,0.0,0.27,0,1
764,2,1.89,2.18,0.13,0.0,0,0,0.744,2.18,1.76,0.42,0,0.0,0.068783,0.29,2,0
748,7,1.75,1.99,0.0,0.4,0,0,0.2048,1.59,1.75,-0.16,1,0.201005,0.0,0.24,0,1
475,7,1.86,2.09,0.1,0.0,0,0,0.4,2.09,1.76,0.33,1,0.0,0.053763,0.23,0,0
1049,7,1.69,1.69,0.0,0.0,0,0,0.744,1.69,1.69,0.0,1,0.0,0.0,0.0,0,0
702,3,1.99,2.23,0.0,0.0,0,0,0.002361,2.23,1.99,0.24,0,0.0,0.0,0.24,3,1
1055,1,1.69,1.69,0.0,0.0,0,0,0.32,1.69,1.69,0.0,0,0.0,0.0,0.0,1,1
751,4,1.79,2.09,0.0,0.0,0,0,0.4,2.09,1.79,0.3,0,0.0,0.0,0.3,4,0
158,4,1.99,2.09,0.1,0.0,0,0,0.95705,2.09,1.89,0.2,0,0.0,0.050251,0.1,4,0
788,7,1.86,2.13,0.47,0.54,1,0,0.5,1.59,1.39,0.2,1,0.253521,0.252688,0.27,0,0
18,2,1.86,2.18,0.0,0.0,0,0,0.32,2.18,1.86,0.32,0,0.0,0.0,0.32,2,1
654,3,1.99,2.09,0.0,0.0,0,0,0.964583,2.09,1.99,0.1,0,0.0,0.0,0.1,3,0
729,1,1.96,2.13,0.0,0.74,0,1,0.68,1.39,1.96,-0.57,0,0.347418,0.0,0.17,1,1
